68,ANIB0,MtestMuxSel
9C,ANIB0,AForceDrvCont
A0,ANIB0,AForceTriCont
10C,ANIB0,ATxImpedance
14C,ANIB0,ATestPrbsErr
154,ANIB0,ATxSlewRate
158,ANIB0,ATestPrbsErrCnt
200,ANIB0,ATxDly_p0
400200,ANIB0,ATxDly_p1
800200,ANIB0,ATxDly_p2
C00200,ANIB0,ATxDly_p3
